ANNEE,PLF_NORMAL,CFX_NORMAL,TOTAL_NORMAL,INDICATEUR,SOUS-INDICATEUR,MODE,PLF_CRISE,CFX_CRISE,TOTAL_CRISE,DELTA_TOTAL,DELTA_TOTAL_PCT,EVOLUTION
2016,118297.0,88720.0,207017.0,Hygiène,Voirie,Normal,118297.0,88720.0,207017.0,0.0,0.0,→
2012,1352332.0,183536.0,1535868.0,Lingerie,Quantité de linge,Normal,1758031.6,238596.80000000002,1996628.4000000001,460760.40000000014,30.00000000000001,↑
2013,1199166.3333333333,180527.33333333337,1379693.6666666665,Lingerie,Quantité de linge,Normal,1558916.2333333334,234685.53333333338,1793601.7666666668,413908.1000000003,30.00000000000003,↑
2014,1046000.6666666667,177518.66666666666,1223519.3333333335,Lingerie,Quantité de linge,Normal,1359800.8666666667,230774.26666666666,1590575.1333333333,367055.7999999998,29.999999999999982,↑
2015,892835.0,174510.0,1067345.0,Lingerie,Quantité de linge,Normal,1160685.5,226863.0,1387548.5,320203.5,30.0,↑
2016,892835.0,174510.0,1067345.0,Lingerie,Quantité de linge,Normal,1160685.5,226863.0,1387548.5,320203.5,30.0,↑
2015,1809121.0,401305.0,2210426.0,Lingerie,Références gérées,Normal,2351857.3000000003,521696.5,2873553.8000000003,663127.8000000003,30.00000000000001,↑
2016,1809121.0,401305.0,2210426.0,Lingerie,Références gérées,Normal,2351857.3000000003,521696.5,2873553.8000000003,663127.8000000003,30.00000000000001,↑
2012,130.0,93.0,223.0,Magasin,Références hygiène & environnement ,Normal,208.0,148.8,356.8,133.8,60.00000000000001,↑
2013,125.0,93.66666666666669,218.66666666666669,Magasin,Références hygiène & environnement ,Normal,200.0,149.8666666666667,349.8666666666667,131.2,59.999999999999986,↑
2014,120.0,94.33333333333331,214.33333333333331,Magasin,Références hygiène & environnement ,Normal,192.0,150.9333333333333,342.9333333333333,128.59999999999997,59.999999999999986,↑
2015,115.0,95.0,210.0,Magasin,Références hygiène & environnement ,Normal,184.0,152.0,336.0,126.0,60.0,↑
2016,115.0,95.0,210.0,Magasin,Références hygiène & environnement ,Normal,184.0,152.0,336.0,126.0,60.0,↑
2012,481.0,258.0,739.0,Magasin,Références hôtelier,Normal,481.0,258.0,739.0,0.0,0.0,→
2013,507.3333333333333,227.33333333333337,734.6666666666666,Magasin,Références hôtelier,Normal,507.3333333333333,227.33333333333337,734.6666666666667,1.1368683772161603e-13,1.5474614934884216e-14,↑
2014,533.6666666666666,196.66666666666663,730.3333333333333,Magasin,Références hôtelier,Normal,533.6666666666666,196.66666666666663,730.3333333333333,0.0,0.0,→
2015,560.0,166.0,726.0,Magasin,Références hôtelier,Normal,560.0,166.0,726.0,0.0,0.0,→
2016,560.0,166.0,726.0,Magasin,Références hôtelier,Normal,560.0,166.0,726.0,0.0,0.0,→
2012,141.0,85.0,226.0,Magasin,Références imprimés ,Normal,141.0,85.0,226.0,0.0,0.0,→
2013,138.33333333333334,82.33333333333333,220.66666666666669,Magasin,Références imprimés ,Normal,138.33333333333334,82.33333333333333,220.66666666666669,0.0,0.0,→
2014,135.66666666666666,79.66666666666667,215.33333333333331,Magasin,Références imprimés ,Normal,135.66666666666666,79.66666666666667,215.33333333333331,0.0,0.0,→
2015,133.0,77.0,210.0,Magasin,Références imprimés ,Normal,133.0,77.0,210.0,0.0,0.0,→
2016,133.0,77.0,210.0,Magasin,Références imprimés ,Normal,133.0,77.0,210.0,0.0,0.0,→
2012,3238399.0,1273338.0,4511737.0,Restauration,Nombre de Repas,Normal,3724158.8499999996,1464338.7,5188497.55,676760.5499999998,14.999999999999996,↑
2013,2825415.0,1256200.0,4081615.0,Restauration,Nombre de Repas,Normal,3249227.2499999995,1444630.0,4693857.25,612242.25,15.0,↑
2014,2412431.0,1239062.0,3651493.0,Restauration,Nombre de Repas,Normal,2774295.65,1424921.2999999998,4199216.949999999,547723.9499999993,14.99999999999998,↑
2015,1999447.0,1221924.0,3221371.0,Restauration,Nombre de Repas,Normal,2299364.05,1405212.5999999999,3704576.6499999994,483205.64999999944,14.999999999999982,↑
2016,1999447.0,1221924.0,3221371.0,Restauration,Nombre de Repas,Normal,2299364.05,1405212.5999999999,3704576.6499999994,483205.64999999944,14.999999999999982,↑
2015,5478.0,3348.0,8826.0,Restauration,Nombre de Repas Quotidien,Normal,6299.7,3850.2,10149.9,1323.8999999999996,14.999999999999996,↑
2016,5478.0,3348.0,8826.0,Restauration,Nombre de Repas Quotidien,Normal,6299.7,3850.2,10149.9,1323.8999999999996,14.999999999999996,↑
2012,996.0,57.0,1053.0,Vaguemestre,Colis,Normal,996.0,57.0,1053.0,0.0,0.0,→
2013,1100.67616334283,62.990503323836656,1163.6666666666667,Vaguemestre,Colis,Normal,1100.67616334283,62.990503323836656,1163.6666666666667,0.0,0.0,→
2014,1205.35232668566,68.98100664767331,1274.3333333333333,Vaguemestre,Colis,Normal,1205.35232668566,68.98100664767331,1274.3333333333333,0.0,0.0,→
2015,1310.02849002849,74.97150997150996,1385.0,Vaguemestre,Colis,Normal,1310.02849002849,74.97150997150996,1385.0,0.0,0.0,→
2016,1310.02849002849,74.97150997150996,1385.0,Vaguemestre,Colis,Normal,1310.02849002849,74.97150997150996,1385.0,0.0,0.0,→
2015,2.0,2.0,4.0,Vaguemestre,Colis Quotidien,Normal,2.0,2.0,4.0,0.0,0.0,→
2016,2.0,2.0,4.0,Vaguemestre,Colis Quotidien,Normal,2.0,2.0,4.0,0.0,0.0,→
2012,1237150.0,42716.0,1279866.0,Vaguemestre,Plis affranchis,Normal,1237150.0,42716.0,1279866.0,0.0,0.0,→
2013,1232598.809028966,42558.85763770063,1275157.6666666667,Vaguemestre,Plis affranchis,Normal,1232598.809028966,42558.85763770063,1275157.6666666665,-2.3283064365386963e-10,-1.825896904674556e-14,↓
2014,1228047.618057932,42401.71527540127,1270449.3333333333,Vaguemestre,Plis affranchis,Normal,1228047.618057932,42401.71527540127,1270449.3333333333,0.0,0.0,→
2015,1223496.427086898,42244.5729131019,1265741.0,Vaguemestre,Plis affranchis,Normal,1223496.427086898,42244.5729131019,1265740.9999999998,-2.3283064365386963e-10,-1.839480933728698e-14,↓
2016,1223496.427086898,42244.5729131019,1265741.0,Vaguemestre,Plis affranchis,Normal,1223496.427086898,42244.5729131019,1265740.9999999998,-2.3283064365386963e-10,-1.839480933728698e-14,↓
2015,1734.0,1734.0,3468.0,Vaguemestre,Plis affranchis Quotidien,Normal,1734.0,1734.0,3468.0,0.0,0.0,→
2016,1734.0,1734.0,3468.0,Vaguemestre,Plis affranchis Quotidien,Normal,1734.0,1734.0,3468.0,0.0,0.0,→
